year_month,sharpe,total_profit,win_rate,num_trades,report
2020-12,-5.301389248666081,-1783.2448869990392,0.0,1,SL1.5_PT1.5
2021-01,1.114300526691516,374.8207542585111,0.6666666666666666,3,SL1.5_PT1.5
2021-02,-4.9371593035085395,-1660.7277208510234,0.0,1,SL1.5_PT1.5
2021-03,-5.651422014656163,-1900.9865035745438,0.3333333333333333,3,SL1.5_PT1.5
2021-04,-0.8150784588567158,-274.1704911830453,0.3333333333333333,3,SL1.5_PT1.5
2021-05,0.0,0.0,,0,SL1.5_PT1.5
2021-06,2.299061802143178,773.34261101431,0.6666666666666666,3,SL1.5_PT1.5
2021-07,-0.7083580066511906,-238.27259879915502,0.0,1,SL1.5_PT1.5
2021-08,-1.4574748474339203,-490.2553741493711,0.0,1,SL1.5_PT1.5
2021-09,2.561013789917946,861.4562206603338,0.5,2,SL1.5_PT1.5
2021-10,-1.2640898007432706,-425.2058409878621,0.0,1,SL1.5_PT1.5
2021-11,3.297393392591408,1109.1545313792165,1.0,1,SL1.5_PT1.5
2021-12,3.3713047650602843,1134.016330968705,1.0,1,SL1.5_PT1.5
2022-01,0.0,0.0,,0,SL1.5_PT1.5
2022-02,3.3865484221230506,1139.143887584772,0.3333333333333333,3,SL1.5_PT1.5
2022-03,0.0,0.0,,0,SL1.5_PT1.5
2022-04,0.969340590423145,326.06012698796656,0.5,2,SL1.5_PT1.5
2022-05,6.245924818897362,2100.961271742427,0.6666666666666666,3,SL1.5_PT1.5
2022-06,-3.0890725441056692,-1039.0809958411558,0.0,3,SL1.5_PT1.5
2022-07,3.020544998913031,1016.0301710759087,0.5,2,SL1.5_PT1.5
2022-08,-0.9518370884586906,-320.1724192723815,0.0,1,SL1.5_PT1.5
2022-09,0.8666182171569603,291.507080924914,1.0,1,SL1.5_PT1.5
2022-10,2.5246944007142864,849.2393540884912,1.0,1,SL1.5_PT1.5
2022-11,4.833128324455621,1625.7344949655067,1.0,2,SL1.5_PT1.5
2022-12,-0.6695279772875699,-225.2112203421549,0.3333333333333333,3,SL1.5_PT1.5
2023-01,3.685833009520287,1239.8151805610473,0.3333333333333333,3,SL1.5_PT1.5
2023-02,0.0,0.0,,0,SL1.5_PT1.5
2023-03,-2.5867983890735613,-870.1294669455674,0.25,4,SL1.5_PT1.5
2023-04,0.13769663647855346,46.317448396970576,1.0,1,SL1.5_PT1.5
2023-05,0.45802578280267664,154.06756549750034,1.0,1,SL1.5_PT1.5
2023-06,-5.7688108191593335,-1940.4729429967915,0.0,2,SL1.5_PT1.5
2023-07,3.4510628050399594,1160.844792400132,1.0,1,SL1.5_PT1.5
2023-08,0.0,0.0,,0,SL1.5_PT1.5
2023-09,0.792800365022182,266.6767390627849,0.6666666666666666,3,SL1.5_PT1.5
2023-10,-3.6999931025793913,-1244.5782553632666,0.0,3,SL1.5_PT1.5
2023-11,-0.5482428052658921,-184.4141475878998,0.0,1,SL1.5_PT1.5
2023-12,-4.182062034101106,-1406.733290014512,0.0,2,SL1.5_PT1.5
2024-01,0.1790810578227652,60.23805567591137,0.5,2,SL1.5_PT1.5
2024-02,-2.75546913647855,-926.8657739375382,0.5,2,SL1.5_PT1.5
2024-03,0.8724965412554829,293.4843911923031,1.0,1,SL1.5_PT1.5
2024-04,-4.215041502085196,-1417.8266968367661,0.0,2,SL1.5_PT1.5
2024-05,-1.5175595395150854,-510.46625,0.0,1,SL1.5_PT1.5
2024-06,-2.3398930386287047,-787.077141771693,0.5,2,SL1.5_PT1.5
2024-07,-2.675510238162499,-899.969749159118,0.0,2,SL1.5_PT1.5
2024-08,1.6222042856449865,545.6659306373749,1.0,1,SL1.5_PT1.5
2024-09,-1.5910976669805739,-535.2025,0.0,1,SL1.5_PT1.5
2024-10,1.6661346708838338,560.4429317566162,0.5,4,SL1.5_PT1.5
2024-11,3.1813720152253433,1070.1280577010803,1.0,1,SL1.5_PT1.5
2024-12,-1.1097571962973751,-373.2925,0.0,1,SL1.5_PT1.5
2025-01,-1.2420889110800823,-417.805332901952,0.0,1,SL1.5_PT1.5
